"labeller";"group_labeller";"t.value";"p.value";"p.adj";"adj.signif";"t.value1";"p.value1";"p.adj1";"adj.signif1";"t.value2";"p.value2";"p.adj2";"adj.signif2";"t.value3";"p.value3";"p.adj3";"adj.signif3";"t.value4";"p.value4";"p.adj4";"adj.signif4";"t.value5";"p.value5";"p.adj5";"adj.signif5";"t.value6";"p.value6";"p.adj6";"adj.signif6";"t.value7";"p.value7";"p.adj7";"adj.signif7"
"Ventral anterior magnocellular lh";"ventral lh";"2.937";"0.004";"0.077";"(ns)";"1.854";"0.069";"0.428";"(ns)";"-0.707";"0.494";"0.940";"(ns)";"-0.394";"0.695";"0.940";"(ns)";"0.069";"0.945";"0.977";"(ns)";"-0.608";"0.542";"0.940";"(ns)";"-0.478";"0.637";"0.940";"(ns)";"-0.397";"0.693";"0.940";"(ns)"
"Ventral anterior magnocellular rh";"ventral rh";"2.678";"0.008";"0.108";"(ns)";"1.076";"0.287";"0.912";"(ns)";"1.180";"0.242";"0.908";"(ns)";"-0.572";"0.567";"0.940";"(ns)";"-0.217";"0.829";"0.959";"(ns)";"-0.704";"0.480";"0.940";"(ns)";"-1.010";"0.317";"0.912";"(ns)";"-0.746";"0.453";"0.940";"(ns)"
"Ventral lateral anterior lh";"ventral lh";"2.921";"0.004";"0.077";"(ns)";"0.940";"0.348";"0.917";"(ns)";"-0.848";"0.405";"0.935";"(ns)";"-1.005";"0.319";"0.912";"(ns)";"-0.555";"0.579";"0.940";"(ns)";"-1.171";"0.245";"0.908";"(ns)";"-0.782";"0.440";"0.940";"(ns)";"-0.601";"0.551";"0.940";"(ns)"
"Ventral lateral anterior rh";"ventral rh";"1.730";"0.084";"0.495";"(ns)";"1.027";"0.312";"0.912";"(ns)";"-0.345";"0.733";"0.940";"(ns)";"0.316";"0.753";"0.940";"(ns)";"-0.324";"0.746";"0.940";"(ns)";"0.009";"0.993";"0.995";"(ns)";"0.013";"0.990";"0.995";"(ns)";"0.382";"0.703";"0.940";"(ns)"
"Ventral lateral posterior lh";"ventral lh";"2.326";"0.021";"0.187";"(ns)";"0.973";"0.326";"0.915";"(ns)";"-0.901";"0.377";"0.917";"(ns)";"-0.656";"0.514";"0.940";"(ns)";"-0.425";"0.671";"0.940";"(ns)";"-0.876";"0.386";"0.927";"(ns)";"-0.287";"0.776";"0.942";"(ns)";"-0.544";"0.588";"0.940";"(ns)"
"Ventral lateral posterior rh";"ventral rh";"1.190";"0.233";"0.908";"(ns)";"0.900";"0.371";"0.917";"(ns)";"-0.805";"0.429";"0.940";"(ns)";"0.812";"0.418";"0.940";"(ns)";"-0.240";"0.811";"0.959";"(ns)";"0.353";"0.725";"0.940";"(ns)";"0.706";"0.483";"0.940";"(ns)";"1.029";"0.305";"0.912";"(ns)"
"Ventral posterolateral lh";"ventral lh";"2.102";"0.037";"0.282";"(ns)";"0.100";"0.919";"0.970";"(ns)";"-0.852";"0.412";"0.940";"(ns)";"-0.218";"0.827";"0.959";"(ns)";"-0.119";"0.906";"0.968";"(ns)";"-0.561";"0.575";"0.940";"(ns)";"0.243";"0.809";"0.959";"(ns)";"-0.579";"0.562";"0.940";"(ns)"
"Ventral posterolateral rh";"ventral rh";"0.544";"0.586";"0.940";"(ns)";"0.433";"0.664";"0.940";"(ns)";"-0.392";"0.707";"0.940";"(ns)";"0.900";"0.367";"0.917";"(ns)";"-0.364";"0.715";"0.940";"(ns)";"0.290";"0.772";"0.942";"(ns)";"0.886";"0.375";"0.917";"(ns)";"1.164";"0.246";"0.908";"(ns)"
"Central medial lh";"intralaminar lh";"2.368";"0.018";"0.177";"(ns)";"2.591";"0.011";"0.127";"(ns)";"-0.020";"0.985";"0.995";"(ns)";"0.217";"0.828";"0.959";"(ns)";"0.086";"0.931";"0.970";"(ns)";"-0.722";"0.470";"0.940";"(ns)";"-0.320";"0.750";"0.940";"(ns)";"-0.416";"0.676";"0.940";"(ns)"
"Central medial rh";"intralaminar rh";"2.670";"0.008";"0.108";"(ns)";"2.255";"0.028";"0.229";"(ns)";"0.436";"0.656";"0.940";"(ns)";"-0.010";"0.992";"0.995";"(ns)";"-0.675";"0.499";"0.940";"(ns)";"-1.132";"0.257";"0.908";"(ns)";"-0.617";"0.536";"0.940";"(ns)";"-0.624";"0.529";"0.940";"(ns)"
"Central lateral lh";"intralaminar lh";"1.275";"0.202";"0.908";"(ns)";"1.571";"0.120";"0.652";"(ns)";"0.129";"0.898";"0.968";"(ns)";"-0.478";"0.633";"0.940";"(ns)";"-0.855";"0.394";"0.935";"(ns)";"-0.112";"0.912";"0.968";"(ns)";"-1.608";"0.114";"0.633";"(ns)";"-1.189";"0.235";"0.908";"(ns)"
"Central lateral rh";"intralaminar rh";"0.776";"0.440";"0.940";"(ns)";"0.005";"0.996";"0.996";"(ns)";"0.165";"0.871";"0.968";"(ns)";"-0.572";"0.572";"0.940";"(ns)";"0.133";"0.894";"0.968";"(ns)";"0.897";"0.370";"0.917";"(ns)";"-0.431";"0.671";"0.940";"(ns)";"-0.108";"0.914";"0.968";"(ns)"
"Paracentral lh";"intralaminar lh";"2.953";"0.004";"0.077";"(ns)";"1.177";"0.231";"0.908";"(ns)";"-0.949";"0.347";"0.917";"(ns)";"-0.850";"0.403";"0.935";"(ns)";"-0.815";"0.415";"0.940";"(ns)";"-1.128";"0.263";"0.908";"(ns)";"-0.089";"0.931";"0.970";"(ns)";"-0.365";"0.715";"0.940";"(ns)"
"Paracentral rh";"intralaminar rh";"1.910";"0.057";"0.378";"(ns)";"0.311";"0.754";"0.940";"(ns)";"-0.178";"0.856";"0.967";"(ns)";"0.663";"0.505";"0.940";"(ns)";"1.042";"0.298";"0.912";"(ns)";"0.404";"0.685";"0.940";"(ns)";"0.853";"0.398";"0.935";"(ns)";"0.200";"0.840";"0.959";"(ns)"
"Centromedian lh";"intralaminar lh";"2.145";"0.033";"0.267";"(ns)";"0.586";"0.558";"0.940";"(ns)";"0.229";"0.820";"0.959";"(ns)";"-0.475";"0.636";"0.940";"(ns)";"-0.700";"0.485";"0.940";"(ns)";"-0.659";"0.511";"0.940";"(ns)";"-0.330";"0.744";"0.940";"(ns)";"-0.789";"0.430";"0.940";"(ns)"
"Centromedian rh";"intralaminar rh";"1.091";"0.277";"0.908";"(ns)";"1.463";"0.150";"0.767";"(ns)";"0.758";"0.461";"0.940";"(ns)";"0.233";"0.815";"0.959";"(ns)";"-0.495";"0.620";"0.940";"(ns)";"-0.199";"0.842";"0.959";"(ns)";"0.430";"0.668";"0.940";"(ns)";"0.245";"0.807";"0.959";"(ns)"
"Paratenial lh";"medial lh";"2.250";"0.026";"0.221";"(ns)";"1.594";"0.114";"0.633";"(ns)";"-0.083";"0.935";"0.970";"(ns)";"0.015";"0.988";"0.995";"(ns)";"-0.160";"0.873";"0.968";"(ns)";"-0.632";"0.527";"0.940";"(ns)";"-0.193";"0.848";"0.962";"(ns)";"-0.910";"0.363";"0.917";"(ns)"
"Paratenial rh";"medial rh";"1.990";"0.047";"0.340";"(ns)";"1.795";"0.074";"0.452";"(ns)";"0.118";"0.907";"0.968";"(ns)";"0.786";"0.432";"0.940";"(ns)";"0.011";"0.991";"0.995";"(ns)";"-0.282";"0.779";"0.942";"(ns)";"1.020";"0.309";"0.912";"(ns)";"0.738";"0.459";"0.940";"(ns)"
"Reuniens (medial ventral) lh";"medial lh";"1.947";"0.053";"0.371";"(ns)";"2.927";"0.004";"0.082";"(ns)";"-0.157";"0.873";"0.968";"(ns)";"-0.555";"0.581";"0.940";"(ns)";"-0.110";"0.912";"0.968";"(ns)";"-1.106";"0.269";"0.908";"(ns)";"-0.504";"0.619";"0.940";"(ns)";"-0.974";"0.334";"0.917";"(ns)"
"Reuniens (medial ventral) rh";"medial rh";"1.861";"0.066";"0.428";"(ns)";"2.715";"0.009";"0.109";"(ns)";"0.699";"0.477";"0.940";"(ns)";"-0.491";"0.622";"0.940";"(ns)";"-0.710";"0.480";"0.940";"(ns)";"-1.749";"0.081";"0.485";"(ns)";"-0.997";"0.319";"0.912";"(ns)";"-0.789";"0.426";"0.940";"(ns)"
"Mediodorsal medial magnocellular lh";"medial lh";"2.606";"0.010";"0.116";"(ns)";"2.808";"0.005";"0.085";"(ns)";"-0.616";"0.534";"0.940";"(ns)";"-1.234";"0.221";"0.908";"(ns)";"-0.151";"0.880";"0.968";"(ns)";"-0.690";"0.490";"0.940";"(ns)";"-0.497";"0.623";"0.940";"(ns)";"-0.835";"0.404";"0.935";"(ns)"
"Mediodorsal medial magnocellular rh";"medial rh";"3.025";"0.003";"0.067";"(ns)";"3.795";"0.000";"0.013";"(*)";"-1.093";"0.273";"0.908";"(ns)";"-0.125";"0.900";"0.968";"(ns)";"0.050";"0.960";"0.990";"(ns)";"-0.393";"0.694";"0.940";"(ns)";"0.091";"0.927";"0.970";"(ns)";"0.238";"0.811";"0.959";"(ns)"
"Mediodorsal lateral parvocellular lh";"medial lh";"2.419";"0.017";"0.172";"(ns)";"1.846";"0.067";"0.428";"(ns)";"-0.967";"0.330";"0.915";"(ns)";"-1.733";"0.089";"0.507";"(ns)";"-0.047";"0.962";"0.990";"(ns)";"-0.603";"0.546";"0.940";"(ns)";"-0.624";"0.537";"0.940";"(ns)";"-1.244";"0.216";"0.908";"(ns)"
"Mediodorsal lateral parvocellular rh";"medial rh";"3.498";"0.001";"0.020";"(*)";"4.303";"0.000";"0.009";"(**)";"-1.038";"0.301";"0.912";"(ns)";"-0.630";"0.529";"0.940";"(ns)";"-0.354";"0.723";"0.940";"(ns)";"-0.913";"0.362";"0.917";"(ns)";"-0.335";"0.737";"0.940";"(ns)";"-0.320";"0.747";"0.940";"(ns)"
"Lateral geniculate lh";"posterior lh";"3.294";"0.001";"0.032";"(*)";"3.649";"0.000";"0.015";"(*)";"-0.152";"0.878";"0.968";"(ns)";"-0.482";"0.629";"0.940";"(ns)";"0.278";"0.781";"0.942";"(ns)";"0.675";"0.503";"0.940";"(ns)";"-0.397";"0.689";"0.940";"(ns)";"-0.573";"0.566";"0.940";"(ns)"
"Lateral geniculate rh";"posterior rh";"2.803";"0.005";"0.085";"(ns)";"2.466";"0.015";"0.158";"(ns)";"0.526";"0.590";"0.940";"(ns)";"1.107";"0.274";"0.908";"(ns)";"0.654";"0.514";"0.940";"(ns)";"0.602";"0.551";"0.940";"(ns)";"1.263";"0.208";"0.908";"(ns)";"1.178";"0.238";"0.908";"(ns)"
"Medial Geniculate lh";"posterior lh";"-0.619";"0.539";"0.940";"(ns)";"-0.316";"0.760";"0.942";"(ns)";"1.514";"0.130";"0.699";"(ns)";"0.652";"0.515";"0.940";"(ns)";"-0.370";"0.711";"0.940";"(ns)";"-0.774";"0.441";"0.940";"(ns)";"0.033";"0.973";"0.995";"(ns)";"-0.508";"0.613";"0.940";"(ns)"
"Medial Geniculate rh";"posterior rh";"1.030";"0.312";"0.912";"(ns)";"-0.137";"0.895";"0.968";"(ns)";"1.963";"0.055";"0.376";"(ns)";"0.372";"0.710";"0.940";"(ns)";"0.348";"0.727";"0.940";"(ns)";"-0.660";"0.511";"0.940";"(ns)";"0.404";"0.683";"0.940";"(ns)";"-0.028";"0.978";"0.995";"(ns)"
"Limitans (suprageniculate) rh";"posterior rh";"0.019";"0.985";"0.995";"(ns)";"-0.217";"0.828";"0.959";"(ns)";"0.153";"0.877";"0.968";"(ns)";"-0.429";"0.666";"0.940";"(ns)";"-1.027";"0.304";"0.912";"(ns)";"-1.090";"0.275";"0.908";"(ns)";"-0.206";"0.836";"0.959";"(ns)";"-0.127";"0.898";"0.968";"(ns)"
"Pulvinar anterior lh";"posterior lh";"3.692";"0.000";"0.013";"(*)";"2.683";"0.009";"0.109";"(ns)";"-0.723";"0.483";"0.940";"(ns)";"-0.514";"0.606";"0.940";"(ns)";"0.913";"0.363";"0.917";"(ns)";"0.507";"0.614";"0.940";"(ns)";"0.330";"0.742";"0.940";"(ns)";"0.322";"0.746";"0.940";"(ns)"
"Pulvinar anterior rh";"posterior rh";"3.337";"0.001";"0.032";"(*)";"2.372";"0.019";"0.177";"(ns)";"-1.195";"0.238";"0.908";"(ns)";"0.637";"0.524";"0.940";"(ns)";"1.103";"0.271";"0.908";"(ns)";"1.184";"0.240";"0.908";"(ns)";"0.995";"0.319";"0.912";"(ns)";"1.201";"0.230";"0.908";"(ns)"
"Pulvinar medial lh";"posterior lh";"4.050";"0.000";"0.009";"(**)";"3.172";"0.002";"0.052";"(ns)";"-0.424";"0.675";"0.940";"(ns)";"0.286";"0.775";"0.942";"(ns)";"1.135";"0.258";"0.908";"(ns)";"0.733";"0.466";"0.940";"(ns)";"0.444";"0.657";"0.940";"(ns)";"0.286";"0.774";"0.942";"(ns)"
"Pulvinar medial rh";"posterior rh";"3.625";"0.000";"0.015";"(*)";"2.481";"0.014";"0.155";"(ns)";"-1.007";"0.322";"0.913";"(ns)";"1.002";"0.317";"0.912";"(ns)";"1.503";"0.135";"0.705";"(ns)";"1.060";"0.291";"0.912";"(ns)";"1.278";"0.204";"0.908";"(ns)";"1.216";"0.226";"0.908";"(ns)"
"Pulvinar inferior lh";"posterior lh";"3.860";"0.000";"0.013";"(*)";"4.227";"0.000";"0.009";"(**)";"-0.386";"0.700";"0.940";"(ns)";"0.213";"0.832";"0.959";"(ns)";"1.500";"0.135";"0.705";"(ns)";"0.953";"0.340";"0.917";"(ns)";"0.562";"0.571";"0.940";"(ns)";"0.437";"0.663";"0.940";"(ns)"
"Pulvinar inferior rh";"posterior rh";"2.074";"0.039";"0.290";"(ns)";"2.315";"0.022";"0.197";"(ns)";"-0.519";"0.599";"0.940";"(ns)";"1.300";"0.197";"0.908";"(ns)";"0.579";"0.563";"0.940";"(ns)";"0.364";"0.717";"0.940";"(ns)";"1.445";"0.151";"0.767";"(ns)";"1.307";"0.196";"0.908";"(ns)"
